state,year,births,totalpop,birthrate,femalepop,fertilityrate
Mississippi,2017,37357,2984100,12.52,591744,63.13
Mississippi,2018,37000,2986530,12.39,589546,62.76
Mississippi,2019,36636,2976149,12.31,584299,62.7
Mississippi,,148921,11935505,12.48,2361175,63.07
Missouri,2016,74705,6093000,12.26,1171335,63.78
Missouri,2017,73034,6113532,11.95,1171775,62.33
Missouri,2018,73269,6126452,11.96,1174176,62.4
Missouri,2019,72127,6137428,11.75,1177035,61.28
Missouri,,293135,24470412,11.98,4694321,62.44
Montana,2016,12282,1042520,11.78,187978,65.34
Montana,2017,11799,1050493,11.23,190089,62.07
Montana,2018,11513,1062305,10.84,193329,59.55
Montana,2019,11079,1068778,10.37,195191,56.76
Montana,,46673,4224096,11.05,766587,60.88
Nebraska,2016,26589,1907116,13.94,368163,72.22
Nebraska,2017,25821,1920076,13.45,370172,69.75
Nebraska,2018,25488,1929268,13.21,372530,68.42
Nebraska,2019,24755,1934408,12.8,373791,66.23
Nebraska,,102653,7690868,13.35,1484656,69.14
Nevada,2016,36260,2940058,12.33,579645,62.56
Nevada,2017,35756,2998039,11.93,589149,60.69
Nevada,2018,35682,3034392,11.76,594292,60.04
Nevada,2019,35072,3080156,11.39,601516,58.31
Nevada,,142770,12052645,11.85,2364602,60.38
New Hampshire,2016,12267,1334795,9.19,240876,50.93
New Hampshire,2017,12116,1342795,9.02,241346,50.2
New Hampshire,2018,11995,1356458,8.84,244498,49.06
New Hampshire,2019,11839,1359711,8.71,245728,48.18
New Hampshire,,48217,5393759,8.94,972448,49.58
New Jersey,2016,102647,8944469,11.48,1707272,60.12
New Jersey,2017,101250,9005644,11.24,1715123,59.03
New Jersey,2018,101223,8908520,11.36,1684843,60.08
New Jersey,2019,99585,8882190,11.21,1674091,59.49
New Jersey,,404705,35740823,11.32,6781329,59.68
New Mexico,2016,24692,2081015,11.87,394000,62.67
New Mexico,2017,23767,2088070,11.38,395286,60.13
New Mexico,2018,23039,2095428,10.99,397479,57.96
New Mexico,2019,22960,2096829,10.95,398472,57.62
New Mexico,,94458,8361342,11.3,1585237,59.59
New York,2016,234283,19745289,11.87,4001042,58.56
New York,2017,229737,19849399,11.57,4001053,57.42
New York,2018,226238,19542209,11.58,3906117,57.92
New York,2019,221539,19453561,11.39,3874787,57.17
New York,,911797,78590458,11.6,15782999,57.77
North Carolina,2016,120779,10146788,11.9,2002564,60.31
North Carolina,2017,120125,10273419,11.69,2016657,59.57
North Carolina,2018,118954,10383620,11.46,2037325,58.39
North Carolina,2019,118725,10488084,11.32,2055756,57.75
North Carolina,,478583,41291911,11.59,8112302,58.99
North Dakota,2016,11383,757952,15.02,147324,77.27
North Dakota,2017,10737,755393,14.21,146282,73.4
North Dakota,2018,10636,760077,13.99,147391,72.16
North Dakota,2019,10454,762062,13.72,148153,70.56
North Dakota,,43210,3035484,14.23,589150,73.34
Ohio,2016,138085,11614373,11.89,2197322,62.84
Ohio,2017,136832,11658609,11.74,2203285,62.1
Ohio,2018,135134,11689442,11.56,2211261,61.11
Ohio,2019,134461,11689100,11.5,2212147,60.78
Ohio,,544512,46651524,11.67,8824015,61.71
Oklahoma,2016,52592,3923561,13.4,768431,68.44
Oklahoma,2017,50214,3930864,12.77,768751,65.32
Oklahoma,2018,49800,3943079,12.63,770736,64.61
Oklahoma,2019,49143,3956971,12.42,774815,63.43
Oklahoma,,201749,15754475,12.81,3082733,65.44
Oregon,2016,45535,4093465,11.12,798411,57.03
Oregon,2017,43631,4142776,10.53,810399,53.84
Oregon,2018,42188,4190713,10.07,820796,51.4
Oregon,2019,41858,4217737,9.92,827845,50.56
Oregon,,173212,16644691,10.41,3257451,53.17
Pennsylvania,2016,139409,12784227,10.9,2383505,58.49
Pennsylvania,2017,137745,12805537,10.76,2383721,57.79
Pennsylvania,2018,135673,12807060,10.59,2383378,56.92
Pennsylvania,2019,134230,12801989,10.49,2382893,56.33
Pennsylvania,,547057,51198813,10.68,9533497,57.38
Rhode Island,2016,10798,1056426,10.22,208507,51.79
Rhode Island,2017,10638,1059639,10.04,209072,50.88
Rhode Island,2018,10506,1057315,9.94,207911,50.53
Rhode Island,2019,10175,1059361,9.6,208546,48.79
Rhode Island,,42117,4232741,9.95,834036,50.5
South Carolina,2016,57342,4961119,11.56,957823,59.87
South Carolina,2017,57029,5024369,11.35,965704,59.05
South Carolina,2018,56669,5084127,11.15,974611,58.15
South Carolina,2019,57038,5148714,11.08,984181,57.95
South Carolina,,228078,20218329,11.28,3882319,58.75
South Dakota,2016,12275,865454,14.18,158076,77.65
South Dakota,2017,12134,869666,13.95,158874,76.37
South Dakota,2018,11893,882235,13.48,161576,73.61
South Dakota,2019,11449,884659,12.94,162089,70.63
South Dakota,,47751,3502014,13.64,640615,74.54
Tennessee,2016,80807,6651194,12.15,1302973,62.02
Tennessee,2017,81016,6715984,12.06,1312517,61.73
Tennessee,2018,80751,6770010,11.93,1322103,61.08
Tennessee,2019,80450,6829174,11.78,1333861,60.31
Tennessee,,323024,26966362,11.98,5271454,61.28
Texas,2016,398047,27862596,14.29,5806466,68.55
Texas,2017,382050,28304596,13.5,5885855,64.91
Texas,2018,378624,28701845,13.19,5975183,63.37
Texas,2019,377599,28995881,13.02,6037295,62.54
Texas,,1536320,113864918,13.49,23704799,64.81
Utah,2016,50464,3051217,16.54,662673,76.15
Utah,2017,48585,3101833,15.66,675124,71.96
Utah,2018,47209,3161105,14.93,690263,68.39
Utah,2019,46826,3205958,14.61,702260,66.68
Utah,,193084,12520113,15.42,2730320,70.72
Vermont,2016,5756,624594,9.22,114390,50.32
Vermont,2017,5655,623657,9.07,113854,49.67
Vermont,2018,5432,626299,8.67,115068,47.21
Vermont,2019,5361,623989,8.59,114532,46.81
Vermont,,22204,2498539,8.89,457844,48.5
Virginia,2016,102460,8411808,12.18,1676203,61.13
Virginia,2017,100391,8470020,11.85,1681168,59.72
Virginia,2018,99843,8517685,11.72,1688184,59.14
Virginia,2019,97429,8535519,11.41,1686773,57.76
Virginia,,400123,33935032,11.79,6732328,59.43
Washington,2016,90505,7288000,12.42,1437491,62.96
Washington,2017,87562,7405743,11.82,1464754,59.78
Washington,2018,86085,7535591,11.42,1497718,57.48
Washington,2019,84895,7614893,11.15,1517257,55.95
Washington,,349047,29844227,11.7,5917220,58.99
West Virginia,2016,19079,1831102,10.42,327724,58.22
West Virginia,2017,18675,1815857,10.28,322254,57.95
West Virginia,2018,18248,1805832,10.11,319036,57.2
West Virginia,2019,18136,1792147,10.12,315074,57.56
West Virginia,,74138,7244938,10.23,1284088,57.74
Wisconsin,2016,66615,5778708,11.53,1081593,61.59
Wisconsin,2017,64975,5795483,11.21,1083819,59.95
Wisconsin,2018,64098,5813568,11.03,1087469,58.94
Wisconsin,2019,63270,5822434,10.87,1089703,58.06
Wisconsin,,258958,23210193,11.16,4342584,59.63
Wyoming,2016,7386,585501,12.61,109988,67.15
Wyoming,2017,6903,579315,11.92,107740,64.07
Wyoming,2018,6562,577737,11.36,107505,61.04
Wyoming,2019,6565,578759,11.34,107944,60.82
Wyoming,,27416,2321312,11.81,433177,63.29
,,15340627,1304253648,11.76,256068311,59.91
