state_of_residence,total
Alabama,57761
Alaska,10086
Arizona,80723
Arkansas,37018
California,454920
Colorado,62885
Connecticut,34725
Delaware,10621
District of Columbia,9212
Florida,221542
Georgia,126172
Hawaii,16972
Idaho,21403
Illinois,144815
Indiana,81646
Iowa,37785
Kansas,36261
Kentucky,53922
Louisiana,59615
Maine,12311
Maryland,71080
Massachusetts,69109
Michigan,110032
Minnesota,67344
Mississippi,37000
Missouri,73269
Montana,11513
Nebraska,25488
Nevada,35682
New Hampshire,11995
New Jersey,101223
New Mexico,23039
New York,226238
North Carolina,118954
North Dakota,10636
Ohio,135134
Oklahoma,49800
Oregon,42188
Pennsylvania,135673
Rhode Island,10506
South Carolina,56669
South Dakota,11893
Tennessee,80751
Texas,378624
Utah,47209
Vermont,5432
Virginia,99843
Washington,86085
West Virginia,18248
Wisconsin,64098
Wyoming,6562
Grand Total,3791712
