state_of_residence,total
Alabama,58941
Alaska,10445
Arizona,81872
Arkansas,37520
California,471658
Colorado,64382
Connecticut,35221
Delaware,10855
District of Columbia,9560
Florida,223630
Georgia,129243
Hawaii,17517
Idaho,22181
Illinois,149390
Indiana,82170
Iowa,38430
Kansas,36519
Kentucky,54752
Louisiana,61018
Maine,12298
Maryland,71641
Massachusetts,70702
Michigan,111426
Minnesota,68595
Mississippi,37357
Missouri,73034
Montana,11799
Nebraska,25821
Nevada,35756
New Hampshire,12116
New Jersey,101250
New Mexico,23767
New York,229737
North Carolina,120125
North Dakota,10737
Ohio,136832
Oklahoma,50214
Oregon,43631
Pennsylvania,137745
Rhode Island,10638
South Carolina,57029
South Dakota,12134
Tennessee,81016
Texas,382050
Utah,48585
Vermont,5655
Virginia,100391
Washington,87562
West Virginia,18675
Wisconsin,64975
Wyoming,6903
Grand Total,3855500
