state_of_residence,total
Alabama,58615
Alaska,9822
Arizona,79375
Arkansas,36564
California,446479
Colorado,62869
Connecticut,34258
Delaware,10562
District of Columbia,9079
Florida,220002
Georgia,126371
Hawaii,16797
Idaho,22063
Illinois,140128
Indiana,80859
Iowa,37649
Kansas,35395
Kentucky,53069
Louisiana,58941
Maine,11779
Maryland,70178
Massachusetts,69117
Michigan,107886
Minnesota,66027
Mississippi,36636
Missouri,72127
Montana,11079
Nebraska,24755
Nevada,35072
New Hampshire,11839
New Jersey,99585
New Mexico,22960
New York,221539
North Carolina,118725
North Dakota,10454
Ohio,134461
Oklahoma,49143
Oregon,41858
Pennsylvania,134230
Rhode Island,10175
South Carolina,57038
South Dakota,11449
Tennessee,80450
Texas,377599
Utah,46826
Vermont,5361
Virginia,97429
Washington,84895
West Virginia,18136
Wisconsin,63270
Wyoming,6565
Grand Total,3747540
