state,2019year,race,2019births
Tennessee,2019,Native Hawaiian or Other Pacific Islander,138
Tennessee,2019,White,59558
Tennessee,2019,More than one race,1604
Texas,2019,American Indian or Alaska Native,1096
Texas,2019,Asian,20454
Texas,2019,Black or African American,50691
Texas,2019,Native Hawaiian or Other Pacific Islander,779
Texas,2019,White,299568
Texas,2019,More than one race,5011
Utah,2019,American Indian or Alaska Native,474
Utah,2019,Asian,1229
Utah,2019,Black or African American,759
Utah,2019,Native Hawaiian or Other Pacific Islander,533
Utah,2019,White,42552
Utah,2019,More than one race,1279
Vermont,2019,American Indian or Alaska Native,11
Vermont,2019,Asian,126
Vermont,2019,Black or African American,143
Vermont,2019,White,5000
Vermont,2019,More than one race,80
Virginia,2019,American Indian or Alaska Native,215
Virginia,2019,Asian,7914
Virginia,2019,Black or African American,21765
Virginia,2019,Native Hawaiian or Other Pacific Islander,404
Virginia,2019,White,65245
Virginia,2019,More than one race,1886
Washington,2019,American Indian or Alaska Native,1703
Washington,2019,Asian,9669
Washington,2019,Black or African American,4938
Washington,2019,Native Hawaiian or Other Pacific Islander,1447
Washington,2019,White,62985
Washington,2019,More than one race,4153
West Virginia,2019,American Indian or Alaska Native,18
West Virginia,2019,Asian,174
West Virginia,2019,Black or African American,652
West Virginia,2019,White,16844
West Virginia,2019,More than one race,440
Wisconsin,2019,American Indian or Alaska Native,751
Wisconsin,2019,Asian,2994
Wisconsin,2019,Black or African American,7092
Wisconsin,2019,Native Hawaiian or Other Pacific Islander,37
Wisconsin,2019,White,50860
Wisconsin,2019,More than one race,1536
Wyoming,2019,American Indian or Alaska Native,222
Wyoming,2019,Asian,86
Wyoming,2019,Black or African American,79
Wyoming,2019,Native Hawaiian or Other Pacific Islander,12
Wyoming,2019,White,6013
Wyoming,2019,More than one race,153
